kid,character,strokes,grade,jlpt,readings,translation,freq,rank
1816,勉,10,3,3,ベン,serve; fill a post; serve under; exert oneself; endeavor; work; be diligent; play (the part of) ,18963,1175
1539,動,11,3,3,ドウ、うご-く、うご-かす,motion; change; confusion,420292,89
260,勘,11,7,1,カン,perception; intuition; the sixth sense,7017,1536
1921,務,11,5,2,ム、つと-める、つと-まる,serve; fill a post; serve under; exert oneself; endeavor; work; be diligent; play (the part of) ,396197,97
987,勝,12,3,2,ショウ、か-つ、まさ-る,victory; beauty spot,562597,56
1824,募,12,7,2,ボ、つの-る,gather (contributions); campaign (for students); float (a loan); enlist (troops); grow violent,46383,806
1127,勢,13,5,2,セイ、いきお-い,energy; military strength,159626,314
434,勤,12,6,2,キン、[ゴン]、つと-める、つと-まる,be fit for; be equal to; function properly,36276,923
272,勧,13,7,1,カン、すす-める,recommend; advise; encourage; offer (wine) ,22557,1099
464,勲,15,7,1,クン,merit; order of merit,8799,1466
590,勾,4,7,-,コウ,to bent,281,2086
1580,匂,4,7,1,にお-う,-,724,2006
1830,包,5,4,2,ホウ、つつ-む,wrap; pack up; cover with; dress in; conceal ,21161,1119
132,化,4,3,2,カ、ケ、ば-ける、ば-かす,influence; bewitch; enchant; confuse; delude,450696,79
1875,北,5,2,4,ホク、きた,north,358482,115
963,匠,6,7,1,ショウ,workman; artisan; means; idea,6864,1543
1711,匹,4,7,2,ヒツ、ひき,head; counter (small animals); roll of cloth ,7370,1520
445,区,4,3,2,ク,ward; district; section,281952,162
19,医,7,3,3,イ,medicine; the healing art; doctor,136879,364
1548,匿,10,7,1,トク,shelter; shield; hide,5280,1635
907,十,2,1,4,ジュウ、ジッ、とお、と,ten,112519,445
1166,千,3,1,4,セン、ち,thousand; many,132016,374
960,升,4,7,1,ショウ、ます,1.8 liter,1090,1962
578,午,4,2,4,ゴ,11 a.m.-1 p.m.; 7th zodiac sign,175292,279
1656,半,5,2,4,ハン、なか-ば,half; odd number; semi-; hemi-; demi-,210130,240
1692,卑,9,7,1,ヒ、いや-しい、いや-しむ、いや-しめる,humble; base; mean; vile; vulgar; greedy ,1699,1896
1276,卒,8,4,2,ソツ,graduate; soldier; private,36091,926
1321,卓,8,7,1,タク,table; desk; high,23306,1084
401,協,8,4,2,キョウ,cooperation,248079,187
1574,南,9,2,4,ナン、[ナ]、みなみ,south,129764,382
1336,単,9,4,2,タン,one; single; simple; singular; individual,63753,676
1637,博,12,4,1,ハク、[バク],command esteem; win acclaim; gain; receive. doctor; PhD; exposition; fair; exhibition,64841,670
1169,占,5,7,2,セン、し-める、うらな-う,occupy; hold; have; get; take (a seat),41311,863
47,印,6,4,2,イン、しるし,seal; stamp; mark,55714,737
303,危,6,6,2,キ、あぶ-ない、あや-うい、あや-ぶむ,be afraid of; feel uneasy about; shrink from,72507,620
1261,即,7,7,1,ソク,namely; as is,13182,1331
354,却,7,7,1,キャク,instead; on the contrary; rather; all the more,34599,943
2030,卵,7,6,2,ラン、たまご,ovum,12096,1360
126,卸,9,7,1,おろ-す、おろし,-,4439,1694
1956,厄,4,7,1,ヤク,misfortune; bad luck; evil; disaster,819,1993
2077,厘,9,7,1,リン,one-tenth of a sen; one-tenth of a bu,5648,1616
614,厚,9,5,2,コウ、あつ-い,very thick; heavy,68054,649
551,原,10,2,2,ゲン、はら,original; primitive,340241,128
556,厳,17,6,1,ゲン、[ゴン]、おごそ-か、きび-しい,strictness; severity,60693,691
382,去,5,3,3,キョ、コ、さ-る,leave; move away; quit; pass; elapse; be gone; be over; be distant from; remove; eliminate; get rid of; divorce,106919,459
746,参,8,4,2,サン、まい-る,three; going; coming; visiting,210543,239
1903,又,2,7,1,また,-,3304,1770
361,及,3,7,1,キュウ、およ-ぶ、およ-び、およ-ぼす,exert; exercise; cause,65027,667
1971,友,4,2,4,ユウ、とも,friend; companion; pal,73292,618
1217,双,4,7,2,ソウ、ふた,a pair; a set; comparison; counter for pairs,18829,1180
1655,反,4,3,2,ハン、[ホン]、[タン]、そ-る、そ-らす,antithesis; opposite; antagonism; anti-. roll of cloth (c. 10yds.); .245 acres; 300 tsubo,225873,214
883,収,4,6,2,シュウ、おさ-める、おさ-まる,income,146647,342
918,叔,8,7,1,シュク,uncle; youth,1376,1923
867,取,8,3,2,シュ、と-る,take; hold; seize; catch; capture; fetch; receive; procure; obtain; adopt (a measure); engage (graduates); choose; order (foodstuffs); pick; pluck; make; produce; eat; set up (camp); charge; administer; transact; take (pains); make out (the meaning); remove; take off (one's hat); take out (spots); strike out (words); weed; catch (fish); deprive of; steal; capture (territory); annex; need; require; reserve (rooms); subscribe to; press (a point home); take (a picture); possess,410712,91
877,受,8,3,2,ジュ、う-ける、う-かる,receive,318245,142
956,叙,9,7,1,ジョ,relate; narrate; describe; write; confer (a rank); write a preface,2192,1857
587,口,3,1,3,コウ、ク、くち,mouth,200300,252
559,古,5,2,3,コ、ふる-い、ふる-す,old,117209,426
446,句,5,5,1,ク,phrase; clause; sentence; passage; paragraph; expression; line; verse; stanza; 17-syllable poem,24111,1072
396,叫,6,7,2,キョウ、さけ-ぶ,shout; exclaim; cry; yell; roar; howl; cry for; clamor for; advocate,7581,1509
962,召,5,7,2,ショウ、め-す,call; send for; wear; put on; take (a bath); ride in; buy; eat; drink; catch (a cold) ,3516,1755
135,可,5,5,2,カ,good; passable; approval; safe to say; ability to do,165873,302
1314,台,5,2,3,ダイ、タイ,stand; pedestal; rack; table; dais; bench; block; holder; support; mounting; setting,193902,256
830,叱,5,7,1,シツ、しか-る,scold; reprove,919,1980
765,史,5,4,2,シ,history; chronicles; historian; book,99763,489
58,右,5,1,4,ウ、ユウ、みぎ,right; right hand,118918,414
651,号,5,3,2,ゴウ,number; item; title; pseudonym; Buddhist name ,75923,604
766,司,5,4,1,シ,official; government office,85831,556
210,各,6,4,2,カク、おのおの,each,127269,392
652,合,6,2,2,ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる,one-tenth,727812,25
351,吉,6,7,1,キチ、キツ,good luck; joy; congratulations,73912,612
1536,同,6,2,3,ドウ、おな-じ,the same; the said; ibid,833380,18
1926,名,6,1,4,メイ、ミョウ、な,distinguished; noted; wise; name,291373,158
599,后,6,6,1,コウ,after; behind; back; later,4260,1701
2035,吏,6,7,1,リ,an official,435,2051
1485,吐,6,7,1,ト、は-く,disgorge; vomit; belch; emit; give vent to; confess; tell (lies); speak ,5124,1644
598,向,6,3,2,コウ、む-く、む-ける、む-かう、む-こう,face; confront; oppose; defy; proceed to; get; tend toward; approach,249990,185
462,君,7,3,2,クン、きみ,mister (familiar),26134,1040
