kid,character,strokes,grade,jlpt,readings,translation,freq,rank
1278,存,6,6,2,ソン、ゾン,know; be aware of; be acquainted with; think; believe; feel,73361,617
605,孝,7,6,1,コウ,filial piety,29923,999
312,季,8,4,2,キ,season,84575,565
564,孤,9,7,1,コ,orphan,11667,1369
226,学,8,1,4,ガク、まな-ぶ,learning; study; science; scholarship; erudition,634688,39
1280,孫,10,4,2,ソン、まご,descendants,16008,1255
1318,宅,6,6,2,タク,home; house; residence; our home; my husband,111966,447
59,宇,6,6,2,ウ,eaves; roof; house; heaven,44514,829
865,守,6,3,2,シュ、[ス]、まも-る、も-り,defend; protect; keep; observe; obey; abide by; stick to; be true to ,100909,487
12,安,6,3,3,アン、やす-い,be rested; feel at ease; be relieved; repose,358754,114
252,完,7,4,2,カン,comletion; end,62034,685
889,宗,8,6,1,シュウ、ソウ,religion; sect; denomination,28259,1013
254,官,8,4,2,カン,the Government; the authorities; the Court,261404,175
1380,宙,8,6,2,チュウ,air; space; mid-air; sky; heaven; memorization; interval of time,23756,1077
1441,定,8,3,2,テイ、ジョウ、さだ-める、さだ-まる、さだ-か,deciding. be decided; be settled; quiet down,573023,52
10,宛,8,7,1,あ-てる,-,165,2114
340,宜,8,7,1,ギ,good; good-natured; pleasing; precious; noble; lovely; beautiful; fine; lucky; efficacious; right; suitable; justifiable; appropriate; satisfactory; better; all right; unnecessary; no objection; intimate; friendly; easy; well; desirous,5920,1600
1834,宝,8,6,2,ホウ、たから,treasure,32628,970
839,実,8,3,2,ジツ、み、みの-る,truth; reality; sincerity; fidelity; kindness; faith; substance; essence ,436044,84
355,客,9,3,2,キャク、カク,visitor; guest; customer; client; passenger,77689,601
1171,宣,9,6,1,セン,be pleased to say; say,37312,907
832,室,9,2,3,シツ、むろ,room; apartment; compartment; chamber,98639,493
375,宮,10,3,1,キュウ、グウ、[ク]、みや,constellations (of the zodiac); palace,137304,362
699,宰,10,7,1,サイ,manager; rule,6346,1577
199,害,10,4,2,ガイ,injury; harm; damage; mischief; interference,203753,248
92,宴,10,7,1,エン,feast; banquet; party; entertainment,4440,1693
974,宵,10,7,1,ショウ、よい,evening; early night hours,618,2027
147,家,10,2,3,カ、ケ、いえ、や,house,390197,100
1997,容,10,5,2,ヨウ,form; looks,228205,211
920,宿,11,3,2,シュク、やど、やど-る、やど-す,lodging; inn; post town; relay station; stage ,53369,752
862,寂,11,7,1,ジャク、[セキ]、さび、さび-しい、さび-れる,quietly; death of a priest,6064,1591
322,寄,11,5,2,キ、よ-る、よ-せる,let approach; bring near; gather; collect; summon; muster; add up; push aside; attack; send a letter; contribute to; become dependent on; take refuge with,71641,628
1914,密,11,6,1,ミツ,secrecy; denseness (of population); minuteness; carefulness; fineness ,41010,867
1752,富,12,5,2,フ、[フウ]、と-む、とみ,enrich,73740,613
263,寒,12,3,2,カン、さむ-い,midwinter; coldest season,10332,1417
273,寛,13,7,1,カン,leniency; generosity,14432,1289
1063,寝,13,7,2,シン、ね-る、ね-かす,sleeping; resting; bed,18048,1193
739,察,14,4,2,サツ,presume; surmise; judge; realize; understand; imaging; suppose; sympathize with ,98410,494
158,寡,14,7,1,カ,minority; few; minimum; widow;,975,1969
1591,寧,14,7,1,ネイ,preferably,7265,1523
1066,審,15,7,1,シン,hearing; trial; investigation,106198,463
2070,寮,15,7,1,リョウ,hostel; dormitory; villa; tea pavilion ,3482,1756
1101,寸,3,6,1,スン,one-tenth of a foot; measure,4287,1700
808,寺,6,2,2,ジ、てら,temple,41334,862
1294,対,7,3,2,タイ、ツイ,the opposite; antonym; even; equal; versus; (score of three) to (one); counter-; anti-; versus. pair; couple; set ,599540,47
876,寿,7,7,1,ジュ、ことぶき,age; one's natural life; longevity; congratulations,19439,1155
1763,封,9,7,2,フウ、ホウ,seal; sealing; closing. fief,22784,1094
1172,専,9,6,2,セン、もっぱ-ら,mainly; sorely; ,84267,569
846,射,10,6,1,シャ、い-る,archery; shooting,33801,955
975,将,10,6,2,ショウ,commander; general; admiral,77204,602
26,尉,11,7,1,イ,jailer; old man; rank; company officer,1209,1945
1281,尊,12,6,2,ソン、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,value; prize; esteem; respect; honor; revere,14935,1273
1077,尋,12,7,1,ジン、たず-ねる,fathom,10511,1408
1545,導,15,5,2,ドウ、みちび-く,leading,122562,408
959,小,3,1,4,ショウ、ちい-さい、こ、お,smallness; minor; small. humility prefix; small ,493785,73
961,少,4,2,3,ショウ、すく-ない、すこ-し,few; small; young,176331,275
967,尚,8,7,1,ショウ,further; furthermore; still; still more; yet; just like,12251,1356
899,就,12,6,1,シュウ、[ジュ]、つ-く、つ-ける,settle in (place); take (a seat); take (a position); depart; study (under a teacher),65148,666
855,尺,4,6,1,シャク,Japanese foot; rule; measure; scale; length,1430,1919
1040,尻,5,7,1,しり,-,6156,1585
1578,尼,5,7,1,ニ、あま,nun,3905,1725
1073,尽,6,7,1,ジン、つ-くす、つ-きる、つ-かす,use up; run out of; exhaust; serve; befriend; work for; endeavor; do (one's duty). last day of the month,16392,1242
1703,尾,7,7,1,ビ、お,tail; end; counter for fish,61572,688
1586,尿,7,7,1,ニョウ,urine,8379,1482
425,局,7,3,2,キョク,bureau; board; office; central; post office; affair; duty; situation; conclusion,204511,247
384,居,8,5,2,キョ、い-る,residence,46963,801
457,屈,8,7,1,クツ,bend; bend over; give in; submit to; yield to; flinch,10676,1401
1560,届,8,6,2,とど-ける、とど-く,-,34402,947
119,屋,9,3,3,オク、や,house; roof,118824,415
1476,展,10,6,1,テン,expand,127026,394
1273,属,12,5,1,ゾク,genus; subordinate official,44814,825
1244,層,14,6,2,ソウ,(social) class; stratum; layer; seam; bed; formation; story; floor; course (of stones),45107,821
2041,履,15,7,1,リ、は-く,trample on; stamp on; carry through; practice; appraise; set foot on; evade payment; step on,7881,1500
1561,屯,4,7,1,トン,police station; camp,1119,1956
745,山,3,1,4,サン、やま,mount; mountain,498242,71
306,岐,7,7,1,キ,forking road; street; scene; quarters; arena; theater,19388,1158
118,岡,8,7,-,[おか],-,187113,262
295,岩,8,2,2,ガン、いわ,rock; crag; reef,59479,700
1913,岬,8,7,1,みさき,-,1103,1960
227,岳,8,7,1,ガク、たけ,peak; mountain,8436,1481
294,岸,8,3,2,ガン、きし,bank; shore; coast; brink,36242,924
1547,峠,9,7,1,とうげ,-,1601,1905
403,峡,9,7,1,キョウ,gorge; ravine,2955,1794
1842,峰,10,7,1,ホウ、みね,peak; summit; top; back (of a sword),8727,1470
1510,島,10,3,2,トウ、しま,island,299065,154
1096,崇,11,7,1,スウ,high,6388,1576
722,崎,11,7,1,さき,-,150430,331
200,崖,11,7,1,ガイ、がけ,cliff; bluff; precipice,598,2028
1844,崩,11,7,1,ホウ、くず-れる、くず-す,die,39502,879
11,嵐,12,7,1,あらし,-,6337,1580
1167,川,3,1,4,セン、かわ,river; stream; brook,385851,103
885,州,6,3,2,シュウ、す,province; state; continent,158456,320
933,巡,6,7,1,ジュン、めぐ-る,going around; circumference,38126,894
1231,巣,11,4,1,ソウ、す,nest; rookery; breeding place; beehive; cobweb; den; haunt,7348,1521
588,工,3,2,3,コウ、ク,artisan; machanic; manufacture; work,175531,278
682,左,5,1,4,サ、ひだり,left; the following,102910,473
593,巧,5,7,1,コウ、たく-み,skilled,7473,1515
383,巨,5,7,2,キョ,big; large; great,51473,764
688,差,10,4,2,サ、さ-す,difference; variation; discrepancy; margin; balance; remainder (in subtraction) ,101311,485
557,己,3,6,1,コ、キ、おのれ,sixth,30270,992
256,巻,9,6,2,カン、ま-く、まき,volume; book; part; reel,37301,908
428,巾,3,7,-,キン,towel,306,2082
768,市,5,2,2,シ、いち,city; town; market,658374,36
1740,布,5,5,2,フ、ぬの,cloth,33076,965
1659,帆,6,7,1,ハン、ほ,sail,2816,1806
307,希,7,4,2,キ,Greece,41379,861
1447,帝,9,7,1,テイ,emperor; the god of heaven; the creator,14534,1286
1085,帥,9,7,-,スイ,leading (troops),627,2026
788,師,10,5,2,シ,teacher; master; exemplary person; army; war,93148,513
1144,席,10,4,2,セキ,seat; mat; a place; room; occasion,116905,430
1301,帯,10,4,2,タイ、お-びる、おび,belt; zone,68745,644
320,帰,10,2,3,キ、かえ-る、かえ-す,return; take one's leave; come again; come around (time),84044,571
1399,帳,11,3,1,チョウ,notebook; account book; register; album; curtain dividing a room,18431,1186
1018,常,11,5,2,ジョウ、つね、とこ,normal conditions; regular course of events; one's habit,130133,380
1867,帽,12,7,2,ボウ,cap; headgear,4246,1702
1768,幅,12,7,2,フク、はば,hanging scroll; picture; width; counter for scrolls ,54965,744
1900,幕,13,6,1,マク、バク,curtain; bunting; an act (in a play); end; first rank (in sumo); a matter; a case ,58012,715
1797,幣,15,7,1,ヘイ,Shinto zigzag paper offerings; bad habit; humble prefix; gift,2406,1840
247,干,3,6,2,カン、ほ-す、ひ-る,parch; get dry; ebb; recede,10713,1399
1789,平,5,3,2,ヘイ、ビョウ、たい-ら、ひら,level; peaceful,239103,195
1593,年,6,1,4,ネン、とし,year; term of service,1812728,3
610,幸,8,3,2,コウ、さいわ-い、さち、しあわ-せ,happiness; fortune,66427,657
274,幹,13,5,1,カン、みき,(tree) trunk,115353,434
546,幻,4,7,1,ゲン、まぼろし,vision; dream; illusion; apparition,7517,1513
1991,幼,5,6,2,ヨウ、おさな-い,infancy; childhood; infants; children,18075,1192
1974,幽,9,7,1,ユウ,confine to a room,1504,1914
326,幾,12,7,2,キ、いく,how many; how much; how far; how long; so much per; however(difficult),3329,1767
1394,庁,5,6,2,チョウ,government office,118547,417
594,広,5,2,3,コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,spread out; extend; reach to,229871,210
964,床,7,7,2,ショウ、とこ、ゆか,bed; floor,18948,1176
955,序,7,5,1,ジョ,beginning; preface; order; precedence; farewell address; curtain raiser ,12499,1347
1442,底,8,4,2,テイ、そこ,bottom; base; kind; sort ,36666,917
1474,店,8,2,3,テン、みせ,shop; store,135917,366
1742,府,8,4,2,フ,urban prefecture; government office; representative body; storehouse,266857,172
1496,度,9,3,3,ド、[ト]、[タク]、たび,degree; extent; measure; limit; a time; graduation; scale; composure. save; redeem; reclaim ,400271,96
691,座,10,6,2,ザ、すわ-る,seat; cushion; throne; a gathering; stand; pedestal; platform; (metal) washer; theater; troupe; constellation ,79240,594
569,庫,10,3,2,コ、[ク],storehouse,51789,760
1449,庭,10,3,2,テイ、にわ,yard; courtyard; garden,36731,915
947,庶,11,7,1,ショ,all; illegitimate child,4168,1708
629,康,11,4,1,コウ,peace,68468,647
1998,庸,11,7,1,ヨウ,ordinary; tax paid in labor; employment,1128,1954
1620,廃,12,7,1,ハイ、すた-れる、すた-る,obsolescence; cessation; discarding,53869,749
2107,廉,13,7,1,レン,purity; honesty; low price; corner,1369,1926
2121,廊,12,7,1,ロウ,corridor; hall; lobby; tower; watchtower,5063,1648
88,延,8,6,2,エン、の-びる、の-べる、の-ばす,stretching,56177,733
1439,廷,7,7,1,テイ,imperial court; government office,14294,1295
519,建,9,4,3,ケン、[コン]、た-てる、た-つ,build; raise,129051,386
1814,弁,5,5,1,ベン,braid. petal; valve. discrimination. speech; dialect; oratory ,72179,623
2117,弄,7,7,-,ロウ、もてあそ-ぶ,play with; trifle with,1151,1952
1798,弊,15,7,1,ヘイ,evil; abuse; vice; bad custom; breakage; our (humble); Shinto zigzag paper offering; tribute ,2867,1803
826,式,6,3,2,シキ,ceremony; rite; function; method; system; style; form; type; plan; formula; expression (in math); model; law; standard ,159193,316
1579,弐,6,7,1,ニ,two; second,84,2130
362,弓,3,2,1,キュウ、ゆみ,bow; violin bow,4289,1699
1393,弔,4,7,1,チョウ、とむら-う,mourning,2079,1866
46,引,4,2,2,イン、ひ-く、ひ-ける,draw; pull; haul; tug; jerk; drag; trail; bend; attract; lead (horses or captives); draw (lines); admit; install (utilities); quote; refer to; look up (words); subtract; reduce; apply; daub on; blunt (a sword); patronize; choose; draw (a line); catch (a cold); retreat; withdraw; retire; subside,217815,228
1440,弟,7,2,3,テイ、[ダイ]、[デ]、おとうと,younger brother; faithful service to those older; brotherly affection,20452,1134
1955,弥,8,7,-,や,-,11880,1365
549,弦,8,7,1,ゲン、つる,bowstring; chord (in geometry); hypotenuse; crescent (moon); bowstring; string (of an instrument),2794,1809
565,弧,9,7,1,コ,arc; arch; bow,424,2053
861,弱,10,2,2,ジャク、よわ-い、よわ-る、よわ-まる、よわ-める,weakness; the weak,30438,989
1400,張,11,5,1,チョウ、は-る,counter for bows and stringed instruments,125617,398
410,強,11,2,3,キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる,strength; might; strong person,349571,123
1351,弾,12,7,1,ダン、ひ-く、はず-む、たま,bullet,50880,770
1501,当,6,2,2,トウ、あ-たる、あ-てる,right; appropriateness; fairness; himself; itself; at the time ,429512,86
32,彙,13,7,-,イ,same kind,256,2097
471,形,7,2,2,ケイ、ギョウ、かた、かたち,shape,105465,464
701,彩,11,7,1,サイ、いろど-る,color; paint; make up,17633,1201
1401,彫,11,7,1,チョウ、ほ-る,carving,9569,1442
1001,彰,14,7,1,ショウ,clear,17962,1196
75,影,15,7,1,エイ、かげ,shadow,108002,457
1957,役,7,3,2,ヤク、エキ,war; campaign; battle; expedition; exacted unpaid labor. office; post; position; appointment; duty; role; use; service; help ,164061,304
1688,彼,8,7,2,ヒ、かれ、[かの],he; that,48150,788
109,往,8,5,1,オウ,let go; chase away,8776,1468
1113,征,8,7,1,セイ,attack the rebellious; collect taxes,9302,1453
473,径,8,4,1,ケイ,path; diameter; method,5895,1602
1297,待,9,3,3,タイ、ま-つ,waiting,116127,431
2046,律,9,6,2,リツ、[リチ],law; regulation; rhythm. Buddhist sect originating in the eighth century ,24943,1058
580,後,9,2,4,ゴ、コウ、のち、うし-ろ、あと、おく-れる,back; rear; behind,748246,24
957,徐,10,7,1,ジョ,slowly; deliberately; gently,6055,1592
1487,徒,10,4,2,ト,party; set; gang; companions; people,37222,909
913,従,10,6,1,ジュウ、[ショウ]、[ジュ]、したが-う、したが-える,secondary; incidental; subordinate; accessory; junior; retainer; follow ,50374,776
1550,得,11,4,2,トク、え-る、う-る,profit; advantage; benefit,222334,224
392,御,12,7,2,ギョ、ゴ、おん,imperial honorary prefix; honorific prefix,26325,1038
1769,復,12,5,2,フク,return to; revert to; be restored to; resume (one's duties); revenge; reward ,116991,429
938,循,12,7,1,ジュン,follow,5467,1626
1707,微,13,7,1,ビ,minuteness; insignificance; vagueness; fewness,15137,1269
1552,徳,14,5,1,トク,virtue; goodness; good; gain; power to command respect,42750,841
1411,徴,14,7,1,チョウ,sign; symptom; omen,33347,962
1470,徹,15,7,1,テツ,clear,31230,981
1041,心,4,2,3,シン、こころ,heart; mind; spirit; motive; sense (of duty); padding; wick; core; marrow; vitality ,258654,178
1712,必,5,4,2,ヒツ、かなら-ず,certainly,159382,315
308,忌,7,7,1,キ、い-む、い-まわしい,mourning; death anniversary; something detestable,2776,1810
1589,忍,7,7,1,ニン、しの-ぶ、しの-ばせる,bear; endure; put up with; hide (oneself) ,4604,1684
775,志,7,5,1,シ、こころざ-す、こころざし,record; shilling; will; intention; motive; determination; aim; ambition; hopes; gift; kindness; offering (Buddhist) ,68688,645
1857,忘,7,6,2,ボウ、わす-れる,forget; be forgetful of; forget about; forget (an article),21231,1118
1854,忙,6,7,2,ボウ、いそが-しい,busy; occupied,6003,1594
108,応,7,5,1,オウ、こた-える,yes; all right,174232,283
1381,忠,8,6,1,チュウ,loyalty; devotion; fidelity; faithfulness,23776,1076
176,快,7,5,2,カイ、こころよ-い,pleasure; enjoyment,29266,1004
1594,念,8,4,2,ネン,sense; idea; thought; feeling; desire; concern; attention; care ,125618,397
1497,怒,9,7,2,ド、いか-る、おこ-る,become angry; be offended; become excited ,16120,1251
1743,怖,8,7,2,フ、こわ-い,fear; be frightened; be timid; get nervous ,14400,1291
785,思,9,2,3,シ、おも-う,think; believe; judge; esteem; consider; realize; feel like; regard as; anticipate; imagine; suppose; guess; mistake for; recall; intend; desire; love; care for; yearn after; wonder; suspect ,320430,140
1298,怠,9,7,1,タイ、おこた-る、なま-ける,laziness; neglect,5155,1643
372,急,9,3,3,キュウ、いそ-ぐ,emergency; suddenness; danger; haste; steep,117082,428
1114,性,8,5,2,セイ、ショウ,sex; gender; nature; attribute. deposition; quality; purity,450195,80
91,怨,9,7,-,エン、オン,bear a grudge; show resentment; be jealous,513,2036
179,怪,8,7,1,カイ、あや-しい、あや-しむ,mystery; apparition,5157,1642
2105,恋,10,7,2,レン、こ-う、こい、こい-しい,be in love,16487,1240
406,恐,10,7,2,キョウ、おそ-れる、おそ-ろしい,fear; dread; be afraid; be overawed; be apprehensive,35850,927
615,恒,9,7,1,コウ,always,10884,1391
789,恣,10,7,-,シ,self-indulgent; wayward; selfish; arbitrary,555,2031
1359,恥,10,7,2,チ、は-じる、はじ、は-じらう、は-ずかしい,shame; dishonor; disgrace; humiliation; insult ,5614,1619
673,恨,9,7,1,コン、うら-む、うら-めしい,bear a grudge; show resentment,3306,1769
128,恩,10,5,1,オン,kindness; goodness; favor; mercy; blessing; benefit,9650,1441
407,恭,10,7,1,キョウ、うやうや-しい,respectful; reverent,7071,1533
1266,息,10,3,2,ソク、いき,son; interest (on money),41044,866
479,恵,10,7,1,ケイ、エ、めぐ-む,blessing; grace; favor; kindness; mercy; benevolence; charity,46794,802
181,悔,9,7,1,カイ、く-いる、く-やむ、くや-しい,repend; regret,14850,1277
582,悟,10,7,1,ゴ、さと-る,perceive; discern; realize; understand; comprehend; attain enlightenment; find one's philosophy,12331,1352
1975,悠,11,7,1,ユウ,distant; longtime; leisure,4748,1672
261,患,11,7,2,カン、わずら-う,disease,46261,809
83,悦,10,7,1,エツ,joy; rapture; ecstasy; amusement,6261,1583
1598,悩,10,7,2,ノウ、なや-む、なや-ます,distress; illness,21523,1112
6,悪,11,3,3,アク、オ、わる-い,evil; wrong; vice; wickedness; lawlessness,91570,525
1697,悲,12,3,2,ヒ、かな-しい、かな-しむ,grieve; be sad; deplore; mourn for; regret ,25357,1049
1515,悼,11,7,1,トウ、いた-む,grieve over,8033,1494
1019,情,11,5,2,ジョウ、[セイ]、なさ-け,feeling; emotion; passion; affection; heart; human nature; sympathy; sincerity; circumstances; facts; obstinacy,241529,192
2133,惑,12,7,1,ワク、まど-う,be perplexed; be in doubt; hesitate; vacillate; go astray; err; be tempted; be infatuated; be misguided ,41571,856
1147,惜,11,7,1,セキ、お-しい、お-しむ,be sparing of; be frugal with; be stingy with; regret; value; prize; be reluctant ,5739,1609
450,惧,11,7,-,グ,fear; be overawed; be apprehensive,2515,1831
749,惨,11,7,1,サン、ザン、みじ-め,disaster; cruelty; wretchedness,7809,1504
1291,惰,12,7,1,ダ,laziness,321,2077
1243,想,13,3,2,ソウ、[ソ],idea; conception; thought,110218,450
902,愁,13,7,1,シュウ、うれ-える、うれ-い,grieve; lament; be anxious,1131,1953
1966,愉,12,7,1,ユ,rejoice,1411,1921
33,意,13,3,3,イ,mind; heart; care; liking; taste; inclination; will; intention; thought; idea; desire,352971,121
451,愚,13,7,1,グ、おろ-か,folly; foolishness; absurdity; fool,3412,1760
4,愛,13,4,2,アイ,love; affection; favorite,94602,507
275,感,13,3,2,カン,feeling; sensation; sentiment; sense; emotion; impression; intuition,269610,167
2047,慄,13,7,-,リツ,fear; shudder,148,2118
820,慈,13,7,1,ジ、いつく-しむ,love; be affectionate to; pity,4142,1711
1310,態,14,5,1,タイ,condition; figure; appearance; voice (of verbs),104268,466
634,慌,12,7,1,コウ、あわ-てる、あわ-ただしい,be confused; lose one's head; be hurried; be hasty,3072,1785
1064,慎,13,7,1,シン、つつし-む,be discreet; be careful; be prudent; be cautious; restrain oneself; be moderate,30142,994
1826,慕,14,7,1,ボ、した-う,yearn for; love dearly; adore; follow,1283,1933
1908,慢,14,7,1,マン,lazinss; ridicule,11565,1371
277,慣,14,5,2,カン、な-れる、な-らす,experience; become a habit,15194,1266
203,慨,13,7,1,ガイ,be sad,2376,1841
2059,慮,15,7,1,リョ,thought; concern; agreement,29991,997
36,慰,15,7,1,イ、なぐさ-める、なぐさ-む,amuse oneself; make sport of; seduce,8249,1488
492,慶,15,7,1,ケイ,congratulate,21864,1104
1983,憂,15,7,1,ユウ、うれ-える、うれ-い、う-い,grieve; lament; be anxious,7942,1499
1257,憎,14,7,2,ゾウ、にく-む、にく-い、にく-らしい、にく-しみ,hate; detest,3933,1723
1783,憤,15,7,1,フン、いきどお-る,resent; be indignant; become angry ,3711,1744
1003,憧,15,7,1,ショウ、あこが-れる,yearn after; long for; thirst for; aspire to; admire; adore,549,2032
495,憩,16,7,1,ケイ、いこ-い、いこ-う,rest; relax; repose,3292,1771
493,憬,15,7,-,ケイ,long for,105,2126
537,憲,16,6,1,ケン,law,58068,713
121,憶,16,7,1,オク,think; remember,13656,1313
283,憾,16,7,1,カン,regret; be sorry for,3524,1754
681,懇,17,7,1,コン、ねんご-ろ,kind; courteous; hospitable; cordial,10633,1403
194,懐,16,7,1,カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける,heart; feeling,9364,1448
1417,懲,18,7,1,チョウ、こ-りる、こ-らす、こ-らしめる,chastise; punish; discipline,20886,1123
544,懸,20,7,1,ケン、[ケ]、か-ける、か-かる,hang; set up (a ladder); cover; construct; install; sit down; sprinkle; pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind; turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire),46161,811
1108,成,6,4,2,セイ、[ジョウ]、な-る、な-す,become; get or grow (old); form (a part of); set in; come (time or seasons); turn into; be reduced to; consist of; be accomplished; result in; prove (fatal); amount to; play the part of; elapse; reach (a certain age); bear; stand; be promoted; be pleased to ,362233,113
166,我,7,6,1,ガ、われ、わ,ego; self; selfishness; egotism,39896,877
177,戒,7,7,1,カイ、いまし-める,commandment; admonition,26530,1037
1148,戚,11,7,-,セキ,relative; sadness,232,2100
1181,戦,13,4,2,セン、いくさ、たたか-う,war; battle; game; match,594059,48
346,戯,15,7,1,ギ、たわむ-れる,play; sport; frolic; joke; flirt with,2360,1845
1311,戴,17,7,-,タイ,be crowned with; wear; live under (a ruler); install ( a president); receive; accept; buy; take; eat; drink (humble) ,726,2005
558,戸,4,2,2,コ、と,house; door; family; counter for houses,106805,462
2091,戻,7,7,2,レイ、もど-す、もど-る,return; turn back; revert to; resume; return to; be returned; go backward ,50784,772
1859,房,8,7,1,ボウ、ふさ,house; room; tassel,48104,790
945,所,8,3,2,ショ、ところ,place,348762,124
1177,扇,10,7,1,セン、おうぎ,fan,5663,1615
1698,扉,12,7,1,ヒ、とびら,door; title page; front page,3388,1762
863,手,4,1,3,シュ、て、[た],hand; arm; help; handwriting; handle; means; trick; snare; skill; kind; direction; side; trouble; care; control; management; possession; connection; injury,761851,22
693,才,3,2,2,サイ,ability; talent; aptitude; genius; acumen; intelligence; wit; cubic foot; year; age; time; occasion; opportunity; limit; vicinity ,10298,1418
1287,打,5,3,2,ダ、う-つ,striking,323451,138
1774,払,5,7,2,フツ、はら-う,clear out; sweep away; wipe off; brush off; drive away; banish; prune; parry; pay; dispose of; wield (a sword) sideways; show interest in ,54257,748
9,扱,6,7,1,あつか-う,-,22559,1098
1741,扶,7,7,1,フ,help; save; rescue; give relief to; spare (life); reinforce; promote; abet,2891,1800
1687,批,7,6,1,ヒ,strike,69573,636
969,承,8,5,2,ショウ、うけたまわ-る,receive; accept; take; get; obtain; catch (a ball); stop (a blow); parry; answer (the phone); undergo (an operation); take (an exam); sustain (a loss); be exposed to (ridicule); face; front of; inherit; catch the public fancy,34862,939
339,技,7,5,2,ギ、わざ,art; craft; ability; skill; feat; performance,121322,411
965,抄,7,7,1,ショウ,selection; summary; one tenth of a shaku(勺) ,629,2024
1604,把,7,7,1,ハ,bundle; bunch; sheaf; coil,10245,1420
2013,抑,7,7,1,ヨク、おさ-える,stop; check; restrain; pin down; suppress; subdue; control; catch; arrest; govern; stop (the ears); withhold; attach; seize; secure (evidence); estimate conservatively ,37924,899
1502,投,7,3,2,トウ、な-げる,throw,259057,177
606,抗,7,7,1,コウ,resist; defy; oppose; antagonize,62518,681
1155,折,7,4,2,セツ、お-る、おり、お-れる,break; snap; fracture; knock out (teeth); fold; turn down; bend; make (a paper toy); yield (oneself); give in,27998,1014
1652,抜,7,7,2,バツ、ぬ-く、ぬ-ける、ぬ-かす、ぬ-かる,extract; unlock; pull out; root up; unsheathe; pilfer; quote; remove; omit; capture; outrun; shoot through,69134,641
1319,択,7,7,1,タク,choose; select; cull out; elect; prefer; decide on,41135,865
1689,披,8,7,1,ヒ,open,9342,1450
1835,抱,8,7,2,ホウ、だ-く、いだ-く、かか-える,hug; embrace; hold in the arms; sit (on eggs) ,38818,887
1443,抵,8,7,1,テイ,touch; reach; resist,14466,1288
1905,抹,8,7,1,マツ,paint; erase; rub,2742,1812
110,押,8,7,2,オウ、お-す、お-さえる,push; shove; press; squash; compress; stamp; seal; do in spite of,53525,750
1382,抽,8,7,1,チュウ,pull; extract; excel,10475,1409
1335,担,8,6,2,タン、かつ-ぐ、にな-う,carry; raise,128180,389
2019,拉,8,7,-,ラ,Latin,25882,1044
1632,拍,8,7,1,ハク、[ヒョウ],beat (in music),9328,1451
180,拐,8,7,1,カイ,falsify; kidnap,5223,1638
385,拒,8,7,1,キョ、こば-む,refuse; reject; decline; repudiate; resist; oppose; prevent; deny,25910,1043
1322,拓,8,7,1,タク,open; clear; break up (land),19248,1162
611,拘,8,7,1,コウ,seize; arrest,18534,1185
1156,拙,8,7,1,セツ、つたな-い,clumsy; unskillful,1955,1872
968,招,8,5,2,ショウ、まね-く,beckon to; invite; summon; engage (someone); call (a doctor); incur; cause,37383,905
1612,拝,8,6,2,ハイ、おが-む,worship,17107,1224
386,拠,8,7,1,キョ、コ,be based on; follow,44834,824
212,拡,8,6,1,カク,expand; enlarge; widen; unfurl; open (arms or a package); stretch; spread,58806,707
233,括,9,7,1,カツ,tie up; hang (someone); arrest; fasten,16827,1233
1030,拭,9,7,-,ショク、ふ-く、ぬぐ-う,wipe; mop; swab,772,2000
525,拳,10,7,-,ケン、こぶし,fist,5187,1639
737,拶,9,7,1,サツ,be imminent,323,2075
653,拷,9,7,1,ゴウ,beat; torture,1200,1947
890,拾,9,3,2,シュウ、ジュウ、ひろ-う,ten,6834,1544
817,持,9,3,3,ジ、も-つ,hold; entertain; maintain; observe (principles),323708,137
786,指,9,3,2,シ、ゆび、さ-す,finger,314148,144
1398,挑,9,7,1,チョウ、いど-む,challenge; contend for; make love to,39036,886
387,挙,10,4,1,キョ、あ-げる、あ-がる,plan; project; behavior; actions; step,161313,311
404,挟,9,7,2,キョウ、はさ-む、はさ-まる,put between; hold between; insert; jam into; nip; interpose,4111,1715
3,挨,10,7,1,アイ,push open,324,2074
692,挫,10,7,-,ザ,crush; break; sprain; dislocate; frustrate; unnerve; dampen(spirits),3282,1772
1054,振,10,7,1,シン、ふ-る、ふ-るう、ふ-れる,wave; wag; swing; shake; sprinkle; brandish; jilt; reject; attach; allot,93772,511
1229,挿,10,7,1,ソウ、さ-す,insert; put in; graft (a branch); wear (a sword); carry (in the belt),2367,1843
1267,捉,10,7,-,ソク、とら-える,catch; arrest; capture,1242,1939
1820,捕,10,7,2,ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる,catch; arrest; capture ,89986,535
1420,捗,10,7,-,チョク,make progress,56,2134
1228,捜,10,7,2,ソウ、さが-す,search; look for; locate; glean,73463,616
847,捨,11,6,2,シャ、す-てる,throw away; discard; abandon; desert; give up; renounce; relinquish; resign; lay down (one's life); part with; sacrifice; reject; condemn ,18405,1187
