Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
3893,ぎっしり,ぎっしり,tightly,JLPT2,Adverb
3960,小,しょう,smallness; small size,JLPT2,Noun
3965,食料,しょくりょう,food supplies,JLPT2,Noun
4982,ふた,ふた,lid; cover,JLPT0,Noun
5908,水色,みずいろ,sky blue; turquoise,JLPT0,Noun
4803,透明,とうめい,transparent,JLPT2,Adjectival Noun
3649,座布団,ざぶとん,cushion,JLPT2,Noun
5307,まし,まし,more; better,JLPT0,Adjective
3699,すり,すり,pickpocket,JLPT3,Noun
3857,落とし物,おとしもの,lost property,JLPT0,Noun
4624,突っ込む,つっこむ,thrust in; dash into,JLPT2,Verb
4770,たった,たった,only; merely,JLPT0,Adverb
5687,ふわふわ,ふわふわ,soft,JLPT2,Adjective
5792,取り出す,とりだす,take out; pull out,JLPT2,Verb
5812,布,ぬの,cloth,JLPT2,Noun
2226,自己,じこ,oneself; self,JLPT1,Noun
3599,切れ,きれ,sharpness,JLPT2,Noun
5074,包丁,ほうちょう,kitchen knife; carving knife,JLPT0,Noun
5753,包み,つつみ,package; parcel,JLPT2,Noun
5754,包み紙,つつみがみ,wrapping paper,JLPT0,Noun
2110,抱える,かかえる,hold in one's arms,JLPT2,Verb
2336,抱く,いだく,embrace; hug,JLPT2,Verb
4378,悩み,なやみ,troubles; worries,JLPT1,Noun
2889,少量,しょうりょう,small quantity,JLPT0,Noun
2666,句,く,phrase; clause,JLPT2,Noun
3444,慣用句,かんようく,idiom; common phrase,JLPT0,Noun
4707,文句,もんく,complaint,JLPT2,Noun
2291,下旬,げじゅん,end of the month,JLPT2,Noun
2679,上旬,じょうじゅん,beginning of the month,JLPT2,Noun
4265,中旬,ちゅうじゅん,middle ten days of a month,JLPT2,Noun
3190,飽きる,あきる,be fed up,JLPT2,Verb
2043,額,がく,picture frame,JLPT2,Noun
3230,飾り,かざり,ornament; decoration,JLPT2,Noun
3843,餌,えさ,bait; feed,JLPT2,Noun
4953,平凡,へいぼん,common; ordinary,JLPT2,Adjectival Noun
5746,通帳,つうちょう,bankbook; passbook,JLPT2,Noun
3517,旧,きゅう,old; former,JLPT2,Noun
3146,育児,いくじ,childcare; child-raising,JLPT2,Noun
3557,小児科,しょうにか,pediatrics,JLPT1,Noun
4755,妊娠,にんしん,pregnancy; conception,JLPT1,Verbal Noun
3763,姓名,せいめい,full name,JLPT1,Noun
3800,姓,せい,surname; family name,JLPT2,Noun
5666,同姓,どうせい,same surname,JLPT0,Noun
4505,嫁,よめ,bride; daughter-in-law,JLPT2,Noun
5101,花嫁,はなよめ,bride,JLPT2,Noun
5350,花婿,はなむこ,bridegroom,JLPT0,Noun
3390,品切れ,しなぎれ,run out; sell out,JLPT0,Noun
2711,親類,しんるい,relatives; kin,JLPT2,Noun
3852,幼い,おさない,young; childish,JLPT2,Adjective
5596,幼児,ようじ,young child; infant,JLPT2,Noun
3868,がさがさ,がさがさ,rustle,JLPT0,Adverb
5004,着ける,つける,pull up; park (a vehicle),JLPT2,Verb
3594,眼科,がんか,ophthalmology,JLPT1,Noun
3753,近眼,きんがん,nearsightedness; shortsightedness,JLPT1,Noun
4628,レンズ,レンズ,lens,JLPT2,Noun
3319,快い,こころよい,pleasant; agreeable,JLPT1,Adjective
3433,すっきり,すっきり,refreshed,JLPT2,Adverb
3629,すやすや,すやすや,peaceful and content,JLPT0,Adverb
3831,居眠り,いねむり,doze; nap,JLPT2,Verbal Noun
4242,単に,たんに,merely; simply,JLPT2,Adverb
4632,催す,もよおす,feel; experience,JLPT1,Verb
5448,膨れる,ふくれる,expand; fill up,JLPT1,Verb
5676,乗り越す,のりこす,ride past,JLPT0,Verb
5816,眠たい,ねむたい,sleepy,JLPT1,Adjective
5817,眠り,ねむり,sleep; slumber,JLPT0,Noun
5901,まぶた,まぶた,eyelid,JLPT2,Noun
5256,眺め,ながめ,view; prospect,JLPT2,Noun
2461,一瞬,いっしゅん,instant; moment,JLPT2,Noun
3309,睡眠,すいみん,sleep; slumber,JLPT2,Verbal Noun
2771,垂直,すいちょく,vertical; perpendicular,JLPT2,Adjectival Noun
5318,同封,どうふう,enclosure,JLPT1,Verbal Noun
5411,封,ふう,seal; sealing,JLPT1,Noun
2115,圧力,あつりょく,pressure,JLPT1,Noun
2326,回転,かいてん,revolution; rotation,JLPT2,Verbal Noun
2518,カバー,カバー,cover; covering,JLPT2,Verbal Noun
3499,心掛ける,こころがける,bear in mind; try,JLPT1,Verb
3574,腰掛ける,こしかける,sit down,JLPT2,Verb
3704,男らしい,おとこらしい,manly; masculine,JLPT0,Adjective
3714,寒暖計,かんだんけい,thermometer,JLPT0,Noun
3723,腰掛け,こしかけ,stool; seat,JLPT2,Noun
3955,じゃんじゃん,じゃんじゃん,many times; repeatedly,JLPT0,Adverb
5195,呼び掛ける,よびかける,call to; appeal to,JLPT2,Verb
5516,引っ掛かる,ひっかかる,be caught; be trapped,JLPT2,Verb
5552,話し掛ける,はなしかける,address someone; speak to someone,JLPT2,Verb
5785,通り掛かる,とおりかかる,happen to pass by,JLPT2,Verb
5856,引っ掛ける,ひっかける,hook on,JLPT0,Verb
5961,寄り掛かる,よりかかる,lean against something,JLPT1,Verb
4041,措置,そち,measure; step,JLPT1,Verbal Noun
3536,拝む,おがむ,bow in veneration; worship,JLPT2,Verb
